API Name,API Endpoint,API URL(s),Request Packet(s),Response Packets,Intent
Payout Block API,/v1/block/payout,"https://sandbox.bank.com/v1/block/payout, https://api.bank.com/v1/block/payout","{""payoutId"":""PO-7890"",""reason"":""Fraudulent Merchant"",""requestedBy"":""risk_team""},{""payoutId"":""PO-4567"",""reason"":""Duplicate Payment"",""requestedBy"":""ops""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:15:00"",""blockId"":""BLK-PO-5001""},{""status"":""FAILED"",""reason"":""Payout Already Settled""}",Block
Customer Profile Block API,/v1/block/customer,"https://sandbox.bank.com/v1/block/customer, https://api.bank.com/v1/block/customer","{""customerId"":""CUST-1001"",""reason"":""Compliance Hold"",""requestedBy"":""compliance_team""},{""customerId"":""CUST-2002"",""reason"":""Account Closure"",""requestedBy"":""customer_request""}","{""status"":""SUCCESS"",""blockedAt"":""2025-08-12T11:20:00"",""blockId"":""BLK-CUST-6001""},{""status"":""FAILED"",""reason"":""Customer Not Found""}",Block
Internal Fund Transfer API,/v1/funds/transfer/internal,"https://api.bankexample.com/v1/funds/transfer/internal
https://sandbox.bankexample.com/v1/funds/transfer/internal","{
  ""fromAccount"": ""1234567890"",
  ""toAccount"": ""0987654321"",
  ""amount"": 5000,
  ""currency"": ""INR"",
  ""remarks"": ""Salary Transfer""
}

{
  ""fromAccount"": ""222233334444"",
  ""toAccount"": ""555566667777"",
  ""amount"": 2500,
  ""currency"": ""INR"",
  ""remarks"": ""Expense Reimbursement""
}","{
  ""status"": ""SUCCESS"",
  ""transactionId"": ""TXN123456"",
  ""timestamp"": ""2025-08-12T10:15:00Z""
}

{
  ""status"": ""FAILED"",
  ""errorCode"": ""INSUFFICIENT_FUNDS"",
  ""timestamp"": ""2025-08-12T10:16:00Z""
}",Transfer
Bulk Transfer API,/v1/funds/transfer/bulk,"https://api.bankexample.com/v1/funds/transfer/bulk
https://sandbox.bankexample.com/v1/funds/transfer/bulk","{
  ""batchId"": ""BATCH1001"",
  ""transfers"": [
    {""toAccount"": ""111122223333"", ""amount"": 1000, ""currency"": ""INR""},
    {""toAccount"": ""444455556666"", ""amount"": 2000, ""currency"": ""INR""}
  ]
}

{
  ""batchId"": ""BATCH1002"",
  ""transfers"": [
    {""toAccount"": ""777788889999"", ""amount"": 1500, ""currency"": ""INR""},
    {""toAccount"": ""000011112222"", ""amount"": 2500, ""currency"": ""INR""}
  ]
}","{
  ""status"": ""PARTIAL_SUCCESS"",
  ""successfulTransfers"": 1,
  ""failedTransfers"": 1,
  ""failedList"": [{""toAccount"": ""444455556666"", ""reason"": ""Invalid Account""}]
}

{
  ""status"": ""SUCCESS"",
  ""successfulTransfers"": 2
}",Transfer
Cross-Border Transfer API,/v1/funds/transfer/crossborder,"https://api.bankexample.com/v1/funds/transfer/crossborder
https://sandbox.bankexample.com/v1/funds/transfer/crossborder","{
  ""fromAccount"": ""1234567890"",
  ""toAccount"": ""US987654321"",
  ""amount"": 1000,
  ""currency"": ""USD"",
  ""countryCode"": ""US"",
  ""remarks"": ""Overseas Payment""
}

{
  ""fromAccount"": ""1234567890"",
  ""toAccount"": ""GB123456789"",
  ""amount"": 800,
  ""currency"": ""GBP"",
  ""countryCode"": ""GB"",
  ""remarks"": ""Vendor Payment""
}","{
  ""status"": ""SUCCESS"",
  ""transactionId"": ""CBTXN123456"",
  ""fxRate"": 82.50,
  ""timestamp"": ""2025-08-12T10:20:00Z""
}

{
  ""status"": ""FAILED"",
  ""errorCode"": ""INVALID_SWIFT_CODE"",
  ""timestamp"": ""2025-08-12T10:21:00Z""
}",Transfer
Account Unblock API,/account/unblock,"https://sandbox.bankapi.com/v1/account/unblock
https://api.bankapi.com/v1/account/unblock","{ ""accountNumber"": ""1234567890"", ""reason"": ""User requested unblock"" }
{ ""customerId"": ""CUST12345"", ""remarks"": ""Verified identity"" }","{ ""status"": ""success"", ""message"": ""Account unblocked successfully"" }
{ ""status"": ""failed"", ""message"": ""Account unblock failed"" }",Unblock
Card Unblock API,/card/unblock,"https://sandbox.bankapi.com/v1/card/unblock
https://api.bankapi.com/v1/card/unblock","{ ""cardNumber"": ""4111111111111111"", ""reason"": ""User requested unblock"" }
{ ""customerId"": ""CUST54321"", ""remarks"": ""Security verified"" }","{ ""status"": ""success"", ""message"": ""Card unblocked successfully"" }
{ ""status"": ""failed"", ""message"": ""Card unblock failed"" }",Unblock
Wallet Unblock API,/wallet/unblock,"https://sandbox.bankapi.com/v1/wallet/unblock
https://api.bankapi.com/v1/wallet/unblock","{ ""walletId"": ""WALLET12345"", ""reason"": ""User requested unblock"" }
{ ""customerId"": ""CUST67890"", ""remarks"": ""KYC verified"" }","{ ""status"": ""success"", ""message"": ""Wallet unblocked successfully"" }
{ ""status"": ""failed"", ""message"": ""Wallet unblock failed"" }",Unblock
Beneficiary Unblock API,/beneficiary/unblock,"https://sandbox.bankapi.com/v1/beneficiary/unblock
https://api.bankapi.com/v1/beneficiary/unblock","{ ""beneficiaryId"": ""BEN12345"", ""reason"": ""User requested unblock"" }
{ ""customerId"": ""CUST11223"", ""remarks"": ""Compliance verified"" }","{ ""status"": ""success"", ""message"": ""Beneficiary unblocked successfully"" }
{ ""status"": ""failed"", ""message"": ""Beneficiary unblock failed"" }",Unblock
Static QR Generation API,/api/v1/static_qr_generation_api,"https://sandbox.bankapi.com/api/v1/static_qr_generation_api
https://api.bank.com/api/v1/static_qr_generation_api
https://api.bank.com/v2/api/v1/static_qr_generation_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
Dynamic QR Generation API,/api/v1/dynamic_qr_generation_api,"https://sandbox.bankapi.com/api/v1/dynamic_qr_generation_api
https://api.bank.com/api/v1/dynamic_qr_generation_api
https://api.bank.com/v2/api/v1/dynamic_qr_generation_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
UPI QR Generation API,/api/v1/upi_qr_generation_api,"https://sandbox.bankapi.com/api/v1/upi_qr_generation_api
https://api.bank.com/api/v1/upi_qr_generation_api
https://api.bank.com/v2/api/v1/upi_qr_generation_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
QR Scan & Pay API,/api/v1/qr_scan_&_pay_api,"https://sandbox.bankapi.com/api/v1/qr_scan_&_pay_api
https://api.bank.com/api/v1/qr_scan_&_pay_api
https://api.bank.com/v2/api/v1/qr_scan_&_pay_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
QR Status Inquiry API,/api/v1/qr_status_inquiry_api,"https://sandbox.bankapi.com/api/v1/qr_status_inquiry_api
https://api.bank.com/api/v1/qr_status_inquiry_api
https://api.bank.com/v2/api/v1/qr_status_inquiry_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
QR Cancellation API,/api/v1/qr_cancellation_api,"https://sandbox.bankapi.com/api/v1/qr_cancellation_api
https://api.bank.com/api/v1/qr_cancellation_api
https://api.bank.com/v2/api/v1/qr_cancellation_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
Merchant QR Management API,/api/v1/merchant_qr_management_api,"https://sandbox.bankapi.com/api/v1/merchant_qr_management_api
https://api.bank.com/api/v1/merchant_qr_management_api
https://api.bank.com/v2/api/v1/merchant_qr_management_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
Cross-Border QR Payment API,/api/v1/crossborder_qr_payment_api,"https://sandbox.bankapi.com/api/v1/crossborder_qr_payment_api
https://api.bank.com/api/v1/crossborder_qr_payment_api
https://api.bank.com/v2/api/v1/crossborder_qr_payment_api","{
    ""merchant_id"": ""M12345"",
    ""amount"": 500,
    ""currency"": ""INR""
}

{
    ""merchant_id"": ""M67890"",
    ""amount"": 1200,
    ""currency"": ""USD"",
    ""order_id"": ""ORD987""
}","{
    ""status"": ""success"",
    ""qr_code"": ""base64encodedstring"",
    ""transaction_id"": ""TXN123456""
}

{
    ""status"": ""failed"",
    ""error_code"": ""INVALID_AMOUNT"",
    ""message"": ""Amount must be greater than zero""
}",QR
PAN Verification API,/kyc/pan/verify,"https://sandbox.bankapi.com/v1/kyc/pan/verify
https://api.bank.com/v1/kyc/pan/verify","{ ""pan_number"": ""ABCDE1234F"" }
{ ""pan_number"": ""ABCDE1234F"", ""dob"": ""1990-05-14"" }","{ ""status"": ""success"", ""name"": ""John Doe"", ""pan_status"": ""Active"" }
{ ""status"": ""error"", ""message"": ""Invalid PAN"" }",KYC
Aadhaar Verification API,/kyc/aadhaar/verify,"https://sandbox.bankapi.com/v1/kyc/aadhaar/verify
https://api.bank.com/v1/kyc/aadhaar/verify","{ ""aadhaar_number"": ""123412341234"" }
{ ""aadhaar_number"": ""123412341234"", ""dob"": ""1988-02-10"" }","{ ""status"": ""success"", ""aadhaar_status"": ""Valid"" }
{ ""status"": ""error"", ""message"": ""Invalid Aadhaar"" }",KYC
Aadhaar OTP e-KYC API,/kyc/aadhaar/otp,"https://sandbox.bankapi.com/v1/kyc/aadhaar/otp
https://api.bank.com/v1/kyc/aadhaar/otp","{ ""aadhaar_number"": ""123412341234"", ""mobile_number"": ""9876543210"" }
{ ""otp"": ""123456"", ""transaction_id"": ""txn123"" }","{ ""status"": ""success"", ""name"": ""Rohit Sharma"", ""dob"": ""1988-04-30"" }
{ ""status"": ""error"", ""message"": ""OTP Expired"" }",KYC
Aadhaar Biometric e-KYC API,/kyc/aadhaar/biometric,"https://sandbox.bankapi.com/v1/kyc/aadhaar/biometric
https://api.bank.com/v1/kyc/aadhaar/biometric","{ ""aadhaar_number"": ""123412341234"", ""biometric_data"": ""BASE64DATA"" }","{ ""status"": ""success"", ""name"": ""Anil Kumar"", ""dob"": ""1992-08-19"" }
{ ""status"": ""error"", ""message"": ""Biometric mismatch"" }",KYC
CKYC Search & Fetch API,/kyc/ckyc/search,"https://sandbox.bankapi.com/v1/kyc/ckyc/search
https://api.bank.com/v1/kyc/ckyc/search","{ ""pan_number"": ""ABCDE1234F"" }
{ ""ckyc_number"": ""1234567890123456"" }","{ ""status"": ""success"", ""ckyc_data"": { ""name"": ""Amit Verma"" } }
{ ""status"": ""error"", ""message"": ""CKYC record not found"" }",KYC
Voter ID Verification API,/kyc/voterid/verify,"https://sandbox.bankapi.com/v1/kyc/voterid/verify
https://api.bank.com/v1/kyc/voterid/verify","{ ""voter_id"": ""XYZ1234567"" }
{ ""voter_id"": ""XYZ1234567"", ""dob"": ""1995-01-01"" }","{ ""status"": ""success"", ""name"": ""Priya Singh"" }
{ ""status"": ""error"", ""message"": ""Invalid Voter ID"" }",KYC
Driving License Verification API,/kyc/dl/verify,"https://sandbox.bankapi.com/v1/kyc/dl/verify
https://api.bank.com/v1/kyc/dl/verify","{ ""dl_number"": ""DL-0420110149646"" }
{ ""dl_number"": ""DL-0420110149646"", ""dob"": ""1990-10-15"" }","{ ""status"": ""success"", ""name"": ""Rahul Mehta"" }
{ ""status"": ""error"", ""message"": ""Invalid DL number"" }",KYC
Passport Verification API,/kyc/passport/verify,"https://sandbox.bankapi.com/v1/kyc/passport/verify
https://api.bank.com/v1/kyc/passport/verify","{ ""passport_number"": ""M1234567"" }
{ ""passport_number"": ""M1234567"", ""dob"": ""1985-12-25"" }","{ ""status"": ""success"", ""name"": ""Suresh Kumar"" }
{ ""status"": ""error"", ""message"": ""Invalid Passport Number"" }",KYC
Face Match API,/kyc/face/match,"https://sandbox.bankapi.com/v1/kyc/face/match
https://api.bank.com/v1/kyc/face/match","{ ""image1"": ""BASE64DATA"", ""image2"": ""BASE64DATA"" }","{ ""status"": ""success"", ""match_percentage"": 98 }
{ ""status"": ""error"", ""message"": ""Face mismatch"" }",KYC
Document OCR API,/kyc/document/ocr,"https://sandbox.bankapi.com/v1/kyc/document/ocr
https://api.bank.com/v1/kyc/document/ocr","{ ""document_image"": ""BASE64DATA"" }","{ ""status"": ""success"", ""extracted_text"": ""John Doe, DOB: 1990-01-01"" }
{ ""status"": ""error"", ""message"": ""Unable to read document"" }",KYC
Payment Cancellation API,/payment/cancel,"https://sandbox.bankapi.com/v1/payment/cancel
https://api.bankapi.com/v1/payment/cancel","{ ""transactionId"": ""TXN123456"", ""reason"": ""User requested cancellation"" }
{ ""paymentId"": ""PAY987654"", ""cancelRemarks"": ""Duplicate payment"" }","{ ""status"": ""success"", ""message"": ""Payment cancelled successfully"" }
{ ""status"": ""failed"", ""message"": ""Cancellation window expired"" }",Cancel
Fund Transfer Cancellation API,/fundtransfer/cancel,"https://sandbox.bankapi.com/v1/fundtransfer/cancel
https://api.bankapi.com/v1/fundtransfer/cancel","{ ""transferId"": ""FTX12345"", ""cancelReason"": ""Mistaken transfer"" }
{ ""transactionId"": ""TXN345678"", ""remarks"": ""Urgent cancellation"" }","{ ""status"": ""success"", ""message"": ""Fund transfer cancelled"" }
{ ""status"": ""failed"", ""message"": ""Transfer already processed"" }",Cancel
Bill Payment Cancellation API,/bill/payment/cancel,"https://sandbox.bankapi.com/v1/bill/payment/cancel
https://api.bankapi.com/v1/bill/payment/cancel","{ ""billPaymentId"": ""BILLPAY123"", ""reason"": ""Incorrect amount"" }
{ ""transactionRef"": ""TXN789012"", ""cancelReason"": ""Customer request"" }","{ ""status"": ""success"", ""message"": ""Bill payment cancelled"" }
{ ""status"": ""failed"", ""message"": ""Cancellation not allowed after settlement"" }",Cancel
Standing Instruction Cancellation API,/standinginstruction/cancel,"https://sandbox.bankapi.com/v1/standinginstruction/cancel
https://api.bankapi.com/v1/standinginstruction/cancel","{ ""instructionId"": ""SI123456"", ""reason"": ""User request"" }
{ ""standingInstructionId"": ""SI987654"", ""cancelRemarks"": ""Incorrect schedule"" }","{ ""status"": ""success"", ""message"": ""Standing instruction cancelled"" }
{ ""status"": ""failed"", ""message"": ""Cancellation period expired"" }",Cancel
Cheque Bounce Cancellation API,/cheque/bounce/cancel,"https://sandbox.bankapi.com/v1/cheque/bounce/cancel
https://api.bankapi.com/v1/cheque/bounce/cancel","{ ""chequeId"": ""CHQ123456"", ""reason"": ""User dispute"" }
{ ""transactionId"": ""TXN654321"", ""cancelReason"": ""Error in processing"" }","{ ""status"": ""success"", ""message"": ""Cheque bounce cancellation successful"" }
{ ""status"": ""failed"", ""message"": ""Cancellation not allowed"" }",Cancel
Mandate Cancellation API,/mandate/cancel,"https://sandbox.bankapi.com/v1/mandate/cancel
https://api.bankapi.com/v1/mandate/cancel","{ ""mandateId"": ""MDT123456"", ""reason"": ""User request"" }
{ ""mandateReference"": ""MDT987654"", ""cancelRemarks"": ""Duplicate mandate"" }","{ ""status"": ""success"", ""message"": ""Mandate cancelled successfully"" }
{ ""status"": ""failed"", ""message"": ""Mandate cancellation failed"" }",Cancel
Card Transaction Reversal API,/card/transaction/reversal,"https://sandbox.bankapi.com/v1/card/transaction/reversal
https://api.bankapi.com/v1/card/transaction/reversal","{ ""transactionId"": ""CARDTXN123"", ""reason"": ""Fraudulent transaction"" }
{ ""cardTransactionId"": ""CARDTXN987"", ""cancelRemarks"": ""Customer dispute"" }","{ ""status"": ""success"", ""message"": ""Transaction reversed successfully"" }
{ ""status"": ""failed"", ""message"": ""Reversal not permitted"" }",Cancel
Loan EMI Cancellation API,/loan/emi/cancel,"https://sandbox.bankapi.com/v1/loan/emi/cancel
https://api.bankapi.com/v1/loan/emi/cancel","{ ""emiId"": ""EMI123456"", ""reason"": ""Prepayment"" }
{ ""loanAccount"": ""LN987654"", ""cancelRemarks"": ""EMI adjustment"" }","{ ""status"": ""success"", ""message"": ""EMI cancelled successfully"" }
{ ""status"": ""failed"", ""message"": ""EMI cancellation failed"" }",Cancel
Subscription Cancellation API,/subscription/cancel,"https://sandbox.bankapi.com/v1/subscription/cancel
https://api.bankapi.com/v1/subscription/cancel","{ ""subscriptionId"": ""SUB123456"", ""reason"": ""User request"" }
{ ""subscriptionRef"": ""SUB987654"", ""cancelRemarks"": ""Service discontinued"" }","{ ""status"": ""success"", ""message"": ""Subscription cancelled"" }
{ ""status"": ""failed"", ""message"": ""Cancellation failed"" }",Cancel
Scheduled Payment Cancellation API,/scheduledpayment/cancel,"https://sandbox.bankapi.com/v1/scheduledpayment/cancel
https://api.bankapi.com/v1/scheduledpayment/cancel","{ ""scheduleId"": ""SCH123456"", ""reason"": ""User cancellation"" }
{ ""paymentScheduleRef"": ""SCH987654"", ""cancelRemarks"": ""Incorrect amount"" }","{ ""status"": ""success"", ""message"": ""Scheduled payment cancelled"" }
{ ""status"": ""failed"", ""message"": ""Cancellation window closed"" }",Cancel
Bill Fetch API,/bill/fetch,"https://sandbox.bankapi.com/v1/bill/fetch
https://api.bankapi.com/v1/bill/fetch","{ ""consumerId"": ""C123456789"", ""billerId"": ""ELEC001"" }
{ ""accountNumber"": ""9876543210"", ""billerCategory"": ""Electricity"" }","{ ""status"": ""success"", ""dueAmount"": 1500.75, ""dueDate"": ""2025-09-01"" }
{ ""status"": ""error"", ""message"": ""Invalid consumer ID"" }",Bill
Bill Payment API,/bill/pay,"https://sandbox.bankapi.com/v1/bill/pay
https://api.bankapi.com/v1/bill/pay","{ ""consumerId"": ""C123456789"", ""billerId"": ""ELEC001"", ""amount"": 1500.75, ""paymentMode"": ""UPI"" }
{ ""accountNumber"": ""9876543210"", ""billerCategory"": ""Electricity"", ""amount"": 1500.75, ""paymentMode"": ""NetBanking"" }","{ ""status"": ""success"", ""transactionId"": ""TXN123456"", ""message"": ""Payment successful"" }
{ ""status"": ""failed"", ""message"": ""Insufficient balance"" }",Bill
Bill Validation API,/bill/validate,"https://sandbox.bankapi.com/v1/bill/validate
https://api.bankapi.com/v1/bill/validate","{ ""consumerId"": ""C123456789"", ""billerId"": ""ELEC001"" }
{ ""accountNumber"": ""9876543210"", ""billerCategory"": ""Electricity"" }","{ ""status"": ""valid"", ""message"": ""Consumer details valid"" }
{ ""status"": ""invalid"", ""message"": ""Consumer details not found"" }",Bill
Bill Payment Status API,/bill/payment/status,"https://sandbox.bankapi.com/v1/bill/payment/status
https://api.bankapi.com/v1/bill/payment/status","{ ""transactionId"": ""TXN123456"" }
{ ""paymentReference"": ""REF987654321"" }","{ ""status"": ""success"", ""paymentStatus"": ""Completed"" }
{ ""status"": ""pending"", ""paymentStatus"": ""Processing"" }
{ ""status"": ""failed"", ""message"": ""Transaction not found"" }",Bill
Biller List API,/bill/biller/list,"https://sandbox.bankapi.com/v1/bill/biller/list
https://api.bankapi.com/v1/bill/biller/list","{ ""category"": ""Electricity"" }
{ ""category"": ""Water"" }","{ ""status"": ""success"", ""billers"": [""ELEC001"", ""ELEC002""] }
{ ""status"": ""error"", ""message"": ""Category not found"" }",Bill
